Kazama Yumi,659
Asami Yuma,611
Yoshizawa Akiho,561
Hatano Yui,546
Kawakami Yuu,426
Ootsuki Hibiki,374
Shouda Chisato,368
Sawamura Reiko,360
Aoi Sora,352
Kasumi Risa,335
Yuuki Misa,328
Murakami Ryouko,328
Haruna Hana,300
Shinoda Ayumi,298
Mizuno Asahi,288
Houjou Maki,284
Hatsune Minori,267
Tsubomi,266
Hatsuki Nozomi,265
Meguri,261
Mihiro,259
Mizuki Nao,257
Sakura Kokomi,247
Shinoda Yuu,245
Nishino Shou,244
Kawakami Nanami,242
Hamasaki Mao,240
Tomoda Maki,240
Kobayakawa Reiko,226
Aoi Tsukasa,219
Kitagawa Erika,214
Hasumi Kurea,211
Sayama Ai,209
Saijou Ruri,205
Onda Honoka,203
Sasaki Aki,202
Megumi Kei,187
Miura Eriko,186
Matsushima Kaede,183
Kanou Hana,182
Nagasawa Azusa,182
Hatsumi Saki,181
Ogawa Asami,180
Uehara Ai,180
Nakamori Reiko,180
Aida Yua,177
Kojima Minami,177
Kayama Mika,177
Honda Riko,175
Yokoyama Mirei,174
Nanaumi Nana,174
Kimijima Mio,171
Honoka,170
Rukawa Rina,169
Endou Shihori,168
Ozawa Maria,166
Kamihata Ichika,165
Okuda Saki,165
Iioka Kanako,164
Kishi Aino,164
Aoki Rin,164
Hamasaki Rio,163
Makihara Reiko,160
Shibuya Kaho,159
Natsuki Kaoru,157
Otowa Reon,155
Mitsuna Rei,152
Satou Haruki,149
Kirihara Erika,147
Kayama Natsuko,145
Arimura Chika,145
Haruka Megumi,145
Rio,145
Mori Nanako,144
Shiraki Yuuko,143
Mari Rika,142
Akira Eri,141
Shiina Yuna,141
Hanyuu Arisa,140
AIKA,139
Okita Anri,139
Naruse Kokomi,138
Shino Megumi,137
Sunohara Miki,135
Oda Mako,135
Tsukimi Shiori,135
Oshikawa Yuuri,134
Fukiishi Rena,134
Amamiya Kotone,132
Hoshino Nami,132
Yumeno Aika,131
Nishina Momoka,131
Tsuno Miho,129
Kurokawa Sumire,129
Asuka Kirara,128
Kitagawa Hitomi,128
Yamamoto Miwako,127
Uehara Honami,127
Kanae Ruka,126
Yamaguchi Reiko,125
Satou Miki,125
Fukada Eimi,124
Amatsuka Moe,124
Ozawa Marina,122
Enshiro Hitomi,121
Haduki Naho,121
Abeno Miku,120
Hoshino Akari,120
Kirihara Azusa,120
Ayami Shunka,119
Mishima Natsuko,119
Ayami,118
Shirase Erina,118
Kimito Ayumi,117
Maki Kokoro,117
Tsurata Kana,116
Honda Misaki,115
Kurata Mao,115
Sakura Mana,115
MOKA,114
Asakura Ayane,114
Maki Kyouko,112
Mitani Akari,111
Kuroki Mai,111
Murasaki Ayano,110
Kitahara Natsumi,110
Kirioka Satsuki,110
Tatsumi Yui,110
